Tagline,Rate,Rating,Level,Number_of_jobs,Category,Skills
"Experienced Graphic Designer,Website,Logo,CMS",$14,0,1,0,Design & Multimedia,"Adobe Photoshop, Adobe Illustrator, Adobe Flash, HTML, HTML5, PHP5, Joomla!, ASP.NET, Microsoft SQL Server Programming, MySQL Administration"
Wordpress Guru,$22,60,8,85,IT & Programming,WordPress
"Web Expert - Responsive Web Design, WordPress",$22,0,1,0,IT & Programming,"PHP5, HTML5, PSD to HTML, CSS, WordPress, jQuery, Angular-js, SASS, LESS, Web App"
MBA-Finance and Human Resource Management,,0,1,0,Finance & Management,"Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Adobe Photoshop, Financial Analysis, Accounting, Computer Skills, HTML"
Software Engineer,$16,0,1,0,IT & Programming,"Java, Groovy, Grails, Hadoop, Redis, Linux System Administration, LAMP Administration, MySQL Programming, HTML, CSS"
,,0,1,0,Sales & Marketing,"Search Engine Optimization (SEO), Microsoft Excel, Affiliate Marketing, Classifieds Posting, E-mail marketing, Facebook Marketing, Google AdSense, Google AdWords, Google Analytics, Google Webmaster Central"
,$5,0,1,0,IT & Programming,"Android, Java, MySQL Administration, Microsoft Excel, Computer Skills, Microsoft Word, WordPress, Database design, Oracle Programming, SQL Programming"
,,0,1,0,Writing & Translation,"Content Writing, Online Writing"
software developer,$4,0,2,0,IT & Programming,"ASP.NET, vb.net, Java, WordPress, Microsoft Access Administration, Website Designing, Windows XP Administration, Network"
Expert PHP Developer and Wordpress Expert,$3,60,1,0,IT & Programming,"WordPress, PHP5, AJAX, CSS, Javascript, MySQL Administration, PHP, HTML"
Expert ASP.NET Developer with C#,$11,0,1,0,IT & Programming,"ASP.NET, ASP.NET MVC, C#, jQuery, Search Engine Optimization (SEO), Project Management, eCommerce Consulting, AJAX, MS SQL, HTML5"
Advertising and Marketing Specialist,,0,1,0,Admin Support,"Computer Skills, General Office Skills, Microsoft Word, Microsoft Excel, Resume Writing"
Agile DevOps,$22,0,1,0,IT & Programming,"C, C++, Grails, linux, jenkins, docker, git, svn, maven, ant"
i am web developer,$5,0,1,0,IT & Programming,"WordPress, HTML5, Adobe Photoshop, Bootstrap, CSS, logo"
Quality Web Service Expert,$16,0,1,0,IT & Programming,"Web Development, Joomla!, Web Design, Content Writing, Internet Marketing, Google AdSense, Social Media Marketing, Google Maps API, Google Analytics, Google Docs"
Student of media Studies.,$3,0,1,0,Design & Multimedia,"English to Nepali Translation, Data Entry, Content Writing"
,$44,0,1,0,IT & Programming,"WordPress, WordPress e-Commerce, Wordpress Plugin, CodeIgniter, psd to wordpress, laravel"
Writer and an artist,$8,0,1,0,Writing & Translation,"Report Writing, Content Writing, Resume Writing, Microsoft Word, English, Data Entry, Sketching, Article Writing, Instagram Marketing, Twitter Marketing"
Responsive Web Designer and Developer,,0,1,0,IT & Programming,"Adobe Photoshop, CSS, HTML, CSS3, PSD to HTML, Bootstrap, Drupal, HTML5"
I perform a Quality Task,,0,2,0,IT & Programming,"Search Engine Optimization (SEO), Social Media Marketing, Internet Marketing"
false,$5,0,1,0,Admin Support,"Typing, Microsoft Word, Data Entry"
,$5,0,1,0,Admin Support,"Google+, Computer Skills, Data Entry, Microsoft Office, PDF Conversion, Microsoft Excel, Microsoft Word, Microsoft PowerPoint, Enter new skillmic"
"Lead Generation, Web research",$5,0,1,0,Sales & Marketing,"Internet Research, Microsoft PowerPoint, Adobe Photoshop, Web Research, Lead Generation, Image Editing"
we r expert in web designing and web applications,,0,1,0,IT & Programming,"PHP5, WordPress, Android, iPhone App Development, Microsoft Excel, HTML5, Adobe Photoshop, Adobe Illustrator"
,$13,0,1,0,Admin Support,Typing and data entry
,$5,0,1,0,Design & Multimedia,"Adobe Photoshop, Microsoft Excel, Microsoft Word, Microsoft PowerPoint"
"Web Content Writer, SEO Content Analyst",$5,48,2,0,Writing & Translation,"Business Writing, Ghostwriting, Article Writing, Creative Writing, English, Report Writing"
a soft ware professional working in vb oracle,$5,0,1,0,IT & Programming,"Oracle Administration, DHTML, Visual Basic, Microsoft SQL Server Programming, Microsoft Access Administration, Crystal Report, ASP.NET"
Writer,$3,0,1,0,Writing & Translation,"Report Writing, Microsoft Word, Online Writing, Creative Writing, Content Writing, Public Relations, Business Writing"
,$11,0,1,0,Admin Support,"Microsoft Excel, Computer Skills, Data Entry Skills, Confidentiality, Documentation Skills, Typing(alpha &amp; numeric)"
,,0,2,0,IT & Programming,"Adobe Photoshop, PHP, CSS, HTML, WordPress, Adobe Dreamweaver, Microsoft Excel"
Web Application Developer,$11,0,1,0,IT & Programming,"PHP5, ASP.NET MVC, DevExpress Reporting, DevExpress"
No compromise!,$16,0,1,0,IT & Programming,"PHP, WordPress, Content Writing, Adobe Photoshop, css, html, powerpoint"
,,0,1,0,IT & Programming,"HTML, Joomla, Wordpress, CMS, SEO, SEM, SMM, Magento, E-commerce SEO, Keyword Research"
Internet Marketing Professional -  Content Writer,$11,0,1,0,Writing & Translation,"Online Writing, Content Writing, Creative Writing, Computer Skills, English, Photography, WordPress, Microsoft Excel, Microsoft Word, Microsoft PowerPoint"
,$3,0,1,0,Writing & Translation,"Content Writing, Creative Writing, English"
web designer and other computer skills,,0,1,0,Writing & Translation,"PHP5, Adobe Photoshop, Content Writing, Creative Writing, Online Writing, Report Writing, English, Microsoft Excel, Microsoft Word, Microsoft PowerPoint"
,$13,0,2,0,IT & Programming,"C, C++, Java, AJAX, HTML, MySQL Administration, Groovy, Grails, jQuery, REST"
I think therefore I am,,0,1,0,IT & Programming,WordPress
